x y
0.497601 -0.200000
0.478777 -0.150000
nan nan
0.478777 -0.150000
0.458511 -0.100000
nan nan
0.450000 -0.079836
0.436784 -0.050000
nan nan
0.450000 -0.079836
0.458511 -0.100000
nan nan
0.436784 -0.050000
0.413043 -0.000000
nan nan
0.400000 0.025565
0.386767 0.050000
nan nan
0.400000 0.025565
0.413043 -0.000000
nan nan
0.386767 0.050000
0.357170 0.100000
nan nan
0.350000 0.111282
0.323502 0.150000
nan nan
0.350000 0.111282
0.357170 0.100000
nan nan
0.300000 0.180802
0.284105 0.200000
nan nan
0.300000 0.180802
0.323502 0.150000
nan nan
0.250000 0.237313
0.237313 0.250000
nan nan
0.250000 0.237313
0.284105 0.200000
nan nan
0.200000 0.284105
0.180802 0.300000
nan nan
0.200000 0.284105
0.237313 0.250000
nan nan
0.150000 0.323502
0.111282 0.350000
nan nan
0.150000 0.323502
0.180802 0.300000
nan nan
0.050000 0.386767
0.025565 0.400000
nan nan
0.050000 0.386767
0.100000 0.357170
nan nan
0.100000 0.357170
0.111282 0.350000
nan nan
-0.050000 0.436784
-0.079836 0.450000
nan nan
-0.050000 0.436784
-0.000000 0.413043
nan nan
-0.000000 0.413043
0.025565 0.400000
nan nan
-0.200000 0.497601
-0.150000 0.478777
nan nan
-0.150000 0.478777
-0.100000 0.458511
nan nan
-0.100000 0.458511
-0.079836 0.450000
nan nan
1.100000 0.541489
1.079836 0.550000
nan nan
1.100000 0.541489
1.150000 0.521223
nan nan
1.150000 0.521223
1.200000 0.502399
nan nan
1.000000 0.586957
0.974435 0.600000
nan nan
1.000000 0.586957
1.050000 0.563216
nan nan
1.050000 0.563216
1.079836 0.550000
nan nan
0.900000 0.642830
0.888718 0.650000
nan nan
0.900000 0.642830
0.950000 0.613233
nan nan
0.950000 0.613233
0.974435 0.600000
nan nan
0.850000 0.676498
0.819198 0.700000
nan nan
0.850000 0.676498
0.888718 0.650000
nan nan
0.800000 0.715895
0.762687 0.750000
nan nan
0.800000 0.715895
0.819198 0.700000
nan nan
0.750000 0.762687
0.715895 0.800000
nan nan
0.750000 0.762687
0.762687 0.750000
nan nan
0.700000 0.819198
0.676498 0.850000
nan nan
0.700000 0.819198
0.715895 0.800000
nan nan
0.650000 0.888718
0.642830 0.900000
nan nan
0.650000 0.888718
0.676498 0.850000
nan nan
0.642830 0.900000
0.613233 0.950000
nan nan
0.600000 0.974435
0.586957 1.000000
nan nan
0.600000 0.974435
0.613233 0.950000
nan nan
0.586957 1.000000
0.563216 1.050000
nan nan
0.550000 1.079836
0.541489 1.100000
nan nan
0.550000 1.079836
0.563216 1.050000
nan nan
0.541489 1.100000
0.521223 1.150000
nan nan
0.521223 1.150000
0.502399 1.200000
nan nan
