x y
0.499515 -0.200000
0.486866 -0.150000
nan nan
0.486866 -0.150000
0.473917 -0.100000
nan nan
0.473917 -0.100000
0.460361 -0.050000
nan nan
0.450000 -0.013813
0.445858 -0.000000
nan nan
0.450000 -0.013813
0.460361 -0.050000
nan nan
0.445858 -0.000000
0.430014 0.050000
nan nan
0.430014 0.050000
0.412005 0.100000
nan nan
0.400000 0.129498
0.390857 0.150000
nan nan
0.400000 0.129498
0.412005 0.100000
nan nan
0.390857 0.150000
0.365102 0.200000
nan nan
0.350000 0.224600
0.332160 0.250000
nan nan
0.350000 0.224600
0.365102 0.200000
nan nan
0.300000 0.287817
0.287817 0.300000
nan nan
0.300000 0.287817
0.332160 0.250000
nan nan
0.250000 0.332160
0.224600 0.350000
nan nan
0.250000 0.332160
0.287817 0.300000
nan nan
0.150000 0.390857
0.129498 0.400000
nan nan
0.150000 0.390857
0.200000 0.365102
nan nan
0.200000 0.365102
0.224600 0.350000
nan nan
-0.000000 0.445858
-0.013813 0.450000
nan nan
-0.000000 0.445858
0.050000 0.430014
nan nan
0.050000 0.430014
0.100000 0.412005
nan nan
0.100000 0.412005
0.129498 0.400000
nan nan
-0.200000 0.499515
-0.150000 0.486866
nan nan
-0.150000 0.486866
-0.100000 0.473917
nan nan
-0.100000 0.473917
-0.050000 0.460361
nan nan
-0.050000 0.460361
-0.013813 0.450000
nan nan
1.050000 0.539639
1.013813 0.550000
nan nan
1.050000 0.539639
1.100000 0.526083
nan nan
1.100000 0.526083
1.150000 0.513134
nan nan
1.150000 0.513134
1.200000 0.500485
nan nan
0.900000 0.587995
0.870502 0.600000
nan nan
0.900000 0.587995
0.950000 0.569986
nan nan
0.950000 0.569986
1.000000 0.554142
nan nan
1.000000 0.554142
1.013813 0.550000
nan nan
0.800000 0.634898
0.775400 0.650000
nan nan
0.800000 0.634898
0.850000 0.609143
nan nan
0.850000 0.609143
0.870502 0.600000
nan nan
0.750000 0.667840
0.712183 0.700000
nan nan
0.750000 0.667840
0.775400 0.650000
nan nan
0.700000 0.712183
0.667840 0.750000
nan nan
0.700000 0.712183
0.712183 0.700000
nan nan
0.650000 0.775400
0.634898 0.800000
nan nan
0.650000 0.775400
0.667840 0.750000
nan nan
0.634898 0.800000
0.609143 0.850000
nan nan
0.600000 0.870502
0.587995 0.900000
nan nan
0.600000 0.870502
0.609143 0.850000
nan nan
0.587995 0.900000
0.569986 0.950000
nan nan
0.569986 0.950000
0.554142 1.000000
nan nan
0.550000 1.013813
0.539639 1.050000
nan nan
0.550000 1.013813
0.554142 1.000000
nan nan
0.539639 1.050000
0.526083 1.100000
nan nan
0.526083 1.100000
0.513134 1.150000
nan nan
0.513134 1.150000
0.500485 1.200000
nan nan
