x y pred
1.0000 0.1000 0.9427
1.0500 0.1000 0.9552
1.1000 0.1000 0.9628
1.1500 0.1000 0.9655
1.2000 0.1000 0.9634
-0.2000 0.1500 0.0235
-0.1500 0.1500 0.0522
-0.1000 0.1500 0.0837
-0.0500 0.1500 0.1178
-0.0000 0.1500 0.1546
0.0500 0.1500 0.1937
0.1000 0.1500 0.2349
0.1500 0.1500 0.2779
0.2000 0.1500 0.3225
0.2500 0.1500 0.3683
0.3000 0.1500 0.4148
0.3500 0.1500 0.4617
0.4000 0.1500 0.5086
0.4500 0.1500 0.5549
0.5000 0.1500 0.6003
0.5500 0.1500 0.6442
0.6000 0.1500 0.6863
0.6500 0.1500 0.7260
0.7000 0.1500 0.7630
0.7500 0.1500 0.7969
0.8000 0.1500 0.8274
0.8500 0.1500 0.8541
0.9000 0.1500 0.8768
0.9500 0.1500 0.8952
1.0000 0.1500 0.9093
1.0500 0.1500 0.9189
1.1000 0.1500 0.9239
1.1500 0.1500 0.9245
1.2000 0.1500 0.9207
-0.2000 0.2000 0.0864
-0.1500 0.2000 0.1138
-0.1000 0.2000 0.1436
-0.0500 0.2000 0.1756
-0.0000 0.2000 0.2097
0.0500 0.2000 0.2457
0.1000 0.2000 0.2834
0.1500 0.2000 0.3225
0.2000 0.2000 0.3628
0.2500 0.2000 0.4040
0.3000 0.2000 0.4457
0.3500 0.2000 0.4875
0.4000 0.2000 0.5290
0.4500 0.2000 0.5699
0.5000 0.2000 0.6098
0.5500 0.2000 0.6482
0.6000 0.2000 0.6847
0.6500 0.2000 0.7190
0.7000 0.2000 0.7508
0.7500 0.2000 0.7796
0.8000 0.2000 0.8052
0.8500 0.2000 0.8274
0.9000 0.2000 0.8458
0.9500 0.2000 0.8604
1.0000 0.2000 0.8710
1.0500 0.2000 0.8775
1.1000 0.2000 0.8799
1.1500 0.2000 0.8783
1.2000 0.2000 0.8727
-0.2000 0.2500 0.1522
-0.1500 0.2500 0.1781
-0.1000 0.2500 0.2060
-0.0500 0.2500 0.2356
-0.0000 0.2500 0.2668
0.0500 0.2500 0.2994
0.1000 0.2500 0.3333
0.1500 0.2500 0.3683
0.2000 0.2500 0.4040
0.2500 0.2500 0.4402
0.3000 0.2500 0.4766
0.3500 0.2500 0.5130
0.4000 0.2500 0.5488
0.4500 0.2500 0.5839
0.5000 0.2500 0.6179
0.5500 0.2500 0.6504
0.6000 0.2500 0.6810
0.6500 0.2500 0.7096
0.7000 0.2500 0.7357
0.7500 0.2500 0.7592
0.8000 0.2500 0.7796
0.8500 0.2500 0.7969
0.9000 0.2500 0.8109
0.9500 0.2500 0.8214
1.0000 0.2500 0.8283
1.0500 0.2500 0.8315
1.1000 0.2500 0.8312
1.1500 0.2500 0.8272
1.2000 0.2500 0.8197
-0.2000 0.3000 0.2201
-0.1500 0.3000 0.2445
-0.1000 0.3000 0.2703
-0.0500 0.3000 0.2973
-0.0000 0.3000 0.3254
0.0500 0.3000 0.3545
0.1000 0.3000 0.3843
0.1500 0.3000 0.4148
0.2000 0.3000 0.4457
0.2500 0.3000 0.4766
0.3000 0.3000 0.5075
0.3500 0.3000 0.5380
0.4000 0.3000 0.5679
0.4500 0.3000 0.5968
0.5000 0.3000 0.6246
0.5500 0.3000 0.6508
0.6000 0.3000 0.6753
0.6500 0.3000 0.6978
0.7000 0.3000 0.7180
0.7500 0.3000 0.7357
0.8000 0.3000 0.7508
0.8500 0.3000 0.7630
0.9000 0.3000 0.7723
0.9500 0.3000 0.7785
1.0000 0.3000 0.7815
1.0500 0.3000 0.7814
1.1000 0.3000 0.7781
